,OBJECTID,GEO_ID,LFN_ID,LF_NAME,FNODE,TNODE,ONE_WAY_DI,length_in_,GEO_ID_1,LTS,Shape_Leng,geometry,index_left,Count Date,8 Peak Hr Vehicle Volume,8 Peak Hr Pedestrian Volume
405,406,913167,558,Dundas St W,13469498,13469510,0,117.364460449,913167,3,0.00142317143634,"LINESTRING (615980.054133022 4831488.021215338, 615868.7245254146 4831450.921145171)","(880.0,)","('11-25-2015',)",28100.0,223.0
406,407,30072721,458,Bloor St W,30072719,13469403,0,330.325808027,30072721,4,0.0036223876781,"LINESTRING (614806.9267296841 4831907.327432242, 614800.5189656337 4831903.106585581, 614780.2184398982 4831889.128988235, 614754.4793083528 4831868.665815846, 614731.3186111542 4831847.006936217, 614720.3465900987 4831836.692894606, 614568.1682116431 4831680.166658998)","(1111.0,)","('05-30-2012',)",13528.0,375.0
416,417,7640614,1962,Lake Shore Blvd W,13470605,13470610,0,124.394655565,7640614,4,0.0015057477696,"LINESTRING (618790.9961482353 4828018.431799927, 618673.3686254421 4827978.010567902)","(237.0,)","('02-18-2014',)",11260.0,638.0
431,432,5524289,2060,Markland Dr,13469277,13469133,0,239.13150666,5524289,2,0.00219564922423,"LINESTRING (615307.3417771013 4831933.111408168, 615312.5105745737 4831962.793967006, 615316.5716921866 4831981.671131024, 615320.5728272164 4832009.226184283, 615320.7145591548 4832036.706388555, 615319.6788590546 4832059.648168927, 615313.5774236058 4832099.512868702, 615289.5787982715 4832166.378443957)","(1013.0,)","('05-28-2012',)",11386.0,280.0
433,434,30009337,458,Bloor St W,30009335,13469133,0,76.8725458625,30009337,3,0.000919806837993,"LINESTRING (615360.1966169006 4832196.724696933, 615289.5787982715 4832166.378443957)","(1013.0,)","('05-28-2012',)",11386.0,280.0
448,449,912921,2111,Mill Rd,13469314,13469240,0,155.261385726,912921,2,0.0014424942653,"LINESTRING (614965.0013783119 4831843.368783098, 614965.6379211841 4831858.835618527, 614968.6217767792 4831918.572900631, 614968.2767537219 4831926.487859425, 614965.9690378644 4831937.098472094, 614961.5730843421 4831949.158303401, 614958.0953745515 4831958.042667392, 614939.5571324186 4831992.116460751)","(921.0,)","('09-18-2012',)",11986.0,826.0
467,468,912833,2111,Mill Rd,13469240,13469097,0,258.192673155,912833,2,0.00262072121201,"LINESTRING (614939.5571324186 4831992.116460751, 614927.187016334 4832014.685486883, 614867.2014528275 4832108.751727357, 614845.8391127978 4832145.714275046, 614834.0589317193 4832159.453721632, 614794.5279447426 4832204.677174843)","(921.0,)","('09-18-2012',)",11986.0,826.0
468,469,30072720,458,Bloor St W,13469240,30072719,0,157.440300764,30072720,4,0.00182011407763,"LINESTRING (614939.5571324186 4831992.116460751, 614821.8393098188 4831917.151487959, 614806.9267296841 4831907.327432242)","(921.0,)","('09-18-2012',)",11986.0,826.0
469,470,7466845,2051,Mapledawn Rd,13469193,13469155,0,68.7265730706,7466845,2,0.00068591946247,"LINESTRING (615078.053888973 4832076.96719084, 615042.2648983023 4832135.628849053)","(1816.0,)","('06-14-2011',)",10736.0,249.0
470,471,912832,458,Bloor St W,13469193,13469240,0,162.468058126,912832,3,0.00188678965558,"LINESTRING (615078.053888973 4832076.96719084, 615054.4091898641 4832063.686674599, 614939.5571324186 4831992.116460751)","(921.0, 1816.0)","('09-18-2012', '06-14-2011')",11361.0,537.5
